1,.net,194395,3624959,3607476
2,html,337367,3673183,3673182
3,javascript,692762,3624960,3607052
4,css,249513,3644670,3644669
5,php,637111,3624936,3607050
8,c,151870,3624961,3607013
9,c#,694706,3624962,3607007
10,c++,314901,3624963,3606997
12,ruby,114418,3624964,3607043
14,lisp,3488,3656743,3656742
16,python,339678,3624965,3607014
17,java,708533,3624966,3607018
18,regex,97951,3624967,3607017
19,xml,98834,3624968,3607588
21,mysql,271138,3624969,3607033
22,sql,238487,3625226,3607304
23,tsql,29099,4777787,4777786
26,j#,56,8355939,8355938
27,browser,11771,5388160,5388159
28,linq,42529,4890031,4890030
30,database,80980,4973766,4973765
33,language-agnostic,6883,5197182,5197181
34,unix,21563,4957075,4957074
35,sockets,28024,5253586,5253585
38,flex,22664,3625227,3608598
40,table,20253,4915464,4915463
41,vb.net,73333,3625228,3607042
44,structuremap,1281,5007962,5007961
46,alt.net,9,25220551,25220550
48,architecture,8872,4083816,4083815
49,forms,49940,5602245,5602244
52,aptana,1759,5726271,5726270
53,eclipse,73151,3625229,3607482
55,subclipse,582,5488734,5488733
57,air,6755,4913302,4913301
58,linux,84485,3625112,3607012
60,tutorials,3,5449601,5449600
61,memory,15711,5009628,5009627
63,svn,20162,3696944,3696943
64,windows,69541,3625230,3609881
65,sitemap,1200,5146483,5146482
66,navigation,6310,9678906,9678905
67,membership,766,9956567,9956566
71,theory,1135,18267058,18267057
72,sql-server,108789,3625231,3607030
73,csv,18918,4913959,4913958
75,sysadmin,339,8582713,8582712
76,compression,3940,6110824,6110823
80,apache,43061,4979625,4979624
81,versioning,1666,6352292,6352291
82,media,1880,12858677,12858676
83,embed,2571,7538285,7538284
87,printing,10399,6077509,6077508
88,youtube,7564,5304815,5304814
90,pdf,18435,4541006,4541005
95,convention,206,22836385,22836384
96,asp.net,233404,3625232,3607037
97,migration,3922,7982742,7982741
99,filesystems,4680,5378877,5378876
100,stackoverflow,1490,5796105,5796104
102,hardware,1926,5108397,5108396
105,hdd,131,13419617,13419616
110,ide,5991,4915532,4915531
113,music,1570,11571004,11571003
114,arrays,102519,4969094,4969093
